"title","wikibase_item","Distributor"
"جن‌گیر پاپ","Q116733128","distributor = [[گروه سینمایی سونی پیکچرز]] "
"گتسبی بزرگ (فیلم ۲۰۱۳)","Q892735","distributor = {{فهرست ساده"
"۲۰۰۱: ادیسه فضایی (فیلم)","Q103474","distributor = مترو گلدوین مایر {{small"
"ونوم (فیلم ۲۰۱۸)","Q23006268","distributor = [[سونی پیکچرز اینترتینمنت]] "
"ارتش سری","Q973843","distributor = | endtheme = "
"گابلین (مجموعه تلویزیونی)","Q24859151","distributor = تی وی ان "
"کسلوانیا (مجموعه تلویزیونی)","Q30610085","distributor = [[نت‌فلیکس]] "
"چپ‌دست (فیلم ۲۰۱۵)","Q17276718","distributor = [[واینستین کمپانی]] "
"آواتار: آخرین بادافزار","Q11572","distributor = | channel = [[نیکلودئون]] "
"چه می‌شود اگر...؟ (مجموعه تلویزیونی)","Q65980671","distributor = دیزنی پلتفرم دیستربیوشن "
"افسانه (فیلم ۲۰۱۵)","Q17182571","distributor = {{Plainlist "
"سرنوشت (مجموعه تلویزیونی)","Q128811","distributor = | channel = Seoul Broadcasting System "
"تهران (مجموعه تلویزیونی)","Q90389788","distributor = [[Cineflix]] "
"سکوت (فیلم ۲۰۱۶)","Q18811634","distributor = {{فهرست ساده"
"پسر همسایه","Q15624045","distributor = [[یونیورسال استودیوز]] "
"روزی روزگاری در هالیوود","Q47300912","distributor = [[گروه سینمایی سونی پیکچرز]] "
"بلو بیتل (فیلم)","Q107808351","distributor = [[برادران وارنر پیکچرز]] "
"عطر عشق","Q59926748","distributor = آژانس جهانی "
"نجلا (مجموعه تلویزیونی)","Q113678745","distributor = | channel = [[شبکه سه]] "
